period,Polyester_yarn_price,PTA_price,MEG_price,hs61_vietnam_ExpPrice,hs62_vietnam_ExpPrice,hs61_china_ExpPrice,hs62_china_ExpPrice,hs61_india_ExpPrice,hs62_india_ExpPrice,hs61_indonesia_ExpPrice,hs62_indonesia_ExpPrice,hs61_cambodia_ExpPrice,hs62_cambodia_ExpPrice,Global Price of Cotton (US Cents/lb),usd2vnd_exchange_monthly_avg_rate,brent_oil_price_monthly_avg_rate,Global_clothing_export
201601,1.94764727127419,0.6694969487713734,0.7615407216506487,905068448.422,1015050089.815,6634502652.0,6555693100.0,667268917.489,825367887.627,267780288.044,328568099.933,5018669.05,9539483.65,68.75,22389.61904761905,32.0452380952381,17213857636.030003
201602,1.947647271397874,0.6694969487638384,0.7615407215575234,526276273.9,613089178.767,4198472452.0,4356886120.0,605089371.31,921837056.75,247350271.508,335980990.546,3605312.59,5791990.69,66.5714285714286,22293.14285714286,33.762380952381,11814379018.060999
201603,1.9476472715517676,0.6694969488172623,0.7615407217010126,838128123.664,878669665.273,4046116466.0,3841827572.0,629102234.156,878157376.224,272196310.075,338876954.137,4655525.93,11151545.94,65.4571428571429,22293.95652173913,39.7921739130435,11738881773.399002
201604,1.9476472714003996,0.6694969487836692,0.7615407215088646,797242379.154,819057369.463,5109601642.0,4845696144.0,558127323.404,770440994.354,255037462.317,307498131.382,2207289.0,3408660.0,69.2785714285714,22279.61904761905,43.3304761904762,13468317395.074
201605,1.9476472713779165,0.6694969487607322,0.7615407215455887,815267592.501,845348303.822,6173097784.0,5833654799.0,666656473.754,822074784.293,249879929.601,310647458.379,2104683.0,4374417.0,70.2775,22305.5,47.735,15723106225.349998
201606,1.9476472715446331,0.6694969487892571,0.7615407210171858,1025918722.867,1089093491.438,6807804059.0,6719792272.0,746440870.581,825236363.223,391591699.407,453260157.945,5196938.0,10842923.0,74.1022727272727,22318.31818181818,49.8772727272727,18075177497.461002
201607,1.947647271578376,0.6694969487729642,0.7615407215206423,1031514834.016,1158774611.136,7575177744.0,7245314763.0,722207281.754,733153400.509,185256501.306,228865766.426,5289636.0,9233603.0,81.0642857142857,22295.809523809523,46.5985714285714,18894788141.147
201608,1.947647271262836,0.669496948807137,0.7615407215253209,1061989730.121,1253488545.286,8407127023.0,7802211824.0,664057266.012,664780029.488,307486935.729,336739452.151,1322667.0,4843984.0,80.2613636363637,22283.217391304348,47.0521739130435,20504047456.787
201609,1.9476472711847268,0.6694969487772299,0.7615407215878192,968860435.748,1061018008.469,7306178118.0,6575268565.0,681084548.075,603683861.556,277966684.563,313755171.11,4834787.0,13039974.0,77.8613636363636,22294.590909090908,47.3768181818182,17805690153.521
201610,1.9476472715246271,0.66949694880706,0.7615407216661568,875286557.406,925379267.626,5996964747.0,5830501986.0,718645936.877,647801903.52,255847135.205,242232114.76,3400741.0,10890441.0,78.5166666666667,22305.85714285714,51.4138095238095,15506950830.394001
201611,1.9476472714863557,0.6694969488012867,0.7615407215376508,902688441.502,843933965.315,5682710701.0,5686412426.0,548170578.699,604926885.353,269746740.066,307776259.23,3661334.0,12022079.0,78.9227272727273,22451.40909090909,46.9422727272727,14862049410.164999
201612,1.9476472712887667,0.6694969487946228,0.7615407215083594,1050732927.144,1113610320.192,6475687112.0,6771664049.0,703751338.653,750759380.346,311127397.038,375571600.235,3017241.0,11420923.0,79.5025,22716.136363636364,55.0227272727273,17567342288.608
201701,1.9609631730696697,0.7131631674039164,0.9458447248129016,958709605.863,1075118870.897,6202478467.0,7103409517.0,700973864.243,823803804.57,311267412.7,343213249.56,4953942.0,10498551.0,82.3309523809524,22600.86363636364,55.7109090909091,17534427284.833
201702,1.960963173219747,0.7131631673990747,0.9458447248743956,614707507.024,654069134.22,2669956252.0,3213683723.0,716797136.025,889617968.164,274573268.23,324086145.58,3700235.0,10586077.0,85.155,22713.05,56.096,9371777446.242998
201703,1.9609631730655743,0.7131631673993637,0.9458447244377484,977682037.121,957690646.191,4627920728.0,5445097082.0,794368509.005,1020989400.343,318123452.6,369495258.36,4398415.0,13195289.0,86.7826086956522,22787.08695652174,52.6552173913044,14528960817.62
201704,1.9609631728212038,0.7131631673829492,0.9458447249183123,887165542.275,837512844.609,4957039854.0,5833333892.0,821083394.167,928129903.51,265750562.18,291886132.88,3488002.0,6508489.0,87.0361111111111,22684.4,53.978,14831898616.620998
201705,1.9609631731020989,0.7131631673933418,0.9458447248010047,914318251.954,858081279.512,5754567793.0,6219960754.0,775456227.907,831456058.598,311280283.38,349267732.46,4275345.0,9345977.0,88.6380952380952,22684.60869565217,51.374347826087,16028009702.810997
201706,1.9609631730438637,0.713163167389345,0.945844724884155,1113153859.671,1121096511.551,6711969536.0,6850023538.0,744754248.231,804742272.257,294866290.26,321197379.57,6301659.0,10824319.0,84.7636363636364,22693.545454545456,47.6527272727273,17978929613.539997
201707,1.960963173018599,0.7131631674043006,0.9458447248629647,1129374524.422,1176475639.474,7332891402.0,7459865597.0,631011950.874,644358367.864,313489400.86,378874673.47,5360385.0,8473451.0,84.0880952380952,22714.714285714286,49.2533333333333,19080175391.964
201708,1.960963172844143,0.713163167398519,0.9458447248678268,1218424738.31,1275657008.038,7744462379.0,7377766741.0,682719123.769,655117139.713,386846453.91,419789987.76,6026126.0,11310255.0,79.3409090909091,22724.434782608696,51.9278260869565,19778119952.5
201709,1.960963173036429,0.713163167386436,0.9458447248385187,1081467531.351,1130042665.797,7214641841.0,6415216792.0,879782934.159,783291966.335,322834128.35,311667542.71,5069168.0,10740867.0,80.6047619047619,22719.285714285717,55.557619047619,18154755436.701996
201710,1.960963172927351,0.7131631673971104,0.9458447249056273,988401040.84,1056125991.497,6015723230.0,5421908773.0,426591329.582,403355141.387,290521226.02,313990724.89,4303443.0,8580210.0,78.6045454545454,22713.727272727272,57.5363636363636,14929501110.216
201711,1.960963172993002,0.7131631674097542,0.9458447248999682,985351277.129,1013160113.852,6155059040.0,5792896907.0,513837998.268,522723772.9,332969004.39,351611404.08,4783271.0,10726570.0,80.4113636363636,22704.0,62.8363636363636,15683119358.618998
201712,1.9609631730404211,0.713163167387975,0.9458447249436711,1118840189.999,1197698255.577,6436902468.0,6275484209.0,659437462.481,676248451.737,309476090.65,368683326.21,5697205.0,10067817.0,85.4236842105263,22702.33333333333,64.0642857142857,17058535475.653997
201801,2.137741410400346,0.8224152346871086,1.0365156411950136,1129304421.495,1189987347.007,5766495201.0,6154710144.0,625283058.167,771137423.016,322143914.47,411766009.32,4318218.0,9863756.0,91.0568181818182,22702.043478260868,68.8891304347826,16385009492.474998
201802,2.1377414103592516,0.8224152346878439,1.0365156411290688,749414398.935,787817026.405,5116756875.0,5419718554.0,602504631.081,839200339.396,296350855.45,358603204.37,4202396.0,9881013.0,88.2675,22705.95,65.6965,14184449293.637001
201803,2.13774141032498,0.8224152346871748,1.0365156411137844,1066756790.657,1045299829.384,3224011983.0,3262501408.0,631214870.484,861798510.248,349095702.57,383166175.78,5578308.0,11821987.0,92.1357142857143,22775.136363636364,66.8918181818182,10841245565.123
201804,2.1377414104804915,0.8224152347035057,1.0365156411955136,1005980739.497,954087333.874,4887893170.0,4997556321.0,563288383.926,786333659.191,289172321.32,340623752.41,4116540.0,8333659.0,92.2375,22780.85714285714,71.9328571428572,13837385880.218
201805,2.137741410415281,0.822415234664801,1.0365156412499947,1087418023.605,1047881089.691,5520381631.0,5432844287.0,614324700.728,724797597.806,398726569.72,381112072.96,7057928.0,11445131.0,94.4785714285715,22778.130434782608,76.934347826087,15225989031.509998
201806,2.137741410573688,0.8224152347000383,1.0365156411471526,1250919233.168,1298483048.302,6824155670.0,6871712814.0,677956673.864,680905493.745,275487782.42,286225503.5,4887444.0,10430990.0,97.7071428571429,22849.42857142857,75.8028571428572,18181164652.999
201807,2.137741410414681,0.8224152346838064,1.0365156411801253,1321944698.497,1404685063.559,7894813817.0,7535596417.0,653665737.011,621610944.645,389661168.55,424793018.15,6185018.0,11550454.0,96.1795454545455,23098.86363636364,75.2290909090909,20264506336.412003
201808,2.1377414103696037,0.8224152346921253,1.0365156411928764,1411913698.255,1524913555.157,8030341703.0,7341805328.0,685906476.313,607711058.932,411270661.28,433219234.03,6550764.0,13367012.0,94.5522727272727,23291.304347826088,73.8513043478261,20466999490.967
