fold,train_start,train_end,val_start,val_end,rmse,mape,experiment,config_file,n_features,n_estimators,learning_rate,max_depth
1,2016-02-01,2017-09-01,2017-10-01,2018-12-01,0.15838970381601358,6.63012320801412,"Baseline (default params, 7 features)",config_base.yaml,7,300,0.05,4
2,2016-02-01,2018-12-01,2019-01-01,2020-03-01,0.18467357374089158,9.7850566458009,"Baseline (default params, 7 features)",config_base.yaml,7,300,0.05,4
3,2016-02-01,2020-03-01,2020-04-01,2021-06-01,0.4447828208862873,22.51619121423157,"Baseline (default params, 7 features)",config_base.yaml,7,300,0.05,4
4,2016-02-01,2021-06-01,2021-07-01,2022-09-01,0.15068175216952934,8.879045093968823,"Baseline (default params, 7 features)",config_base.yaml,7,300,0.05,4
5,2016-02-01,2022-09-01,2022-10-01,2023-12-01,0.28546081200167966,14.831592080084183,"Baseline (default params, 7 features)",config_base.yaml,7,300,0.05,4
1,2016-02-01,2017-09-01,2017-10-01,2018-12-01,0.15855901186525823,6.639132534384204,"No lag1 feature (default params, 6 features)",config_noLag1.yaml,6,300,0.05,4
2,2016-02-01,2018-12-01,2019-01-01,2020-03-01,0.19791358621986094,10.459464327079772,"No lag1 feature (default params, 6 features)",config_noLag1.yaml,6,300,0.05,4
3,2016-02-01,2020-03-01,2020-04-01,2021-06-01,0.4474812217736151,22.66027929936203,"No lag1 feature (default params, 6 features)",config_noLag1.yaml,6,300,0.05,4
4,2016-02-01,2021-06-01,2021-07-01,2022-09-01,0.30507387915508194,17.113058920969877,"No lag1 feature (default params, 6 features)",config_noLag1.yaml,6,300,0.05,4
5,2016-02-01,2022-09-01,2022-10-01,2023-12-01,0.32800741718793963,19.83949494595982,"No lag1 feature (default params, 6 features)",config_noLag1.yaml,6,300,0.05,4
1,2016-02-01,2017-09-01,2017-10-01,2018-12-01,0.15834927710741928,6.62797164235926,"no Demand features (default params, 5 features)",config_noDemand.yaml,5,200,0.1,3
2,2016-02-01,2018-12-01,2019-01-01,2020-03-01,0.17041494420832196,9.050167190943371,"no Demand features (default params, 5 features)",config_noDemand.yaml,5,200,0.1,3
3,2016-02-01,2020-03-01,2020-04-01,2021-06-01,0.43614208631661616,22.091258948520462,"no Demand features (default params, 5 features)",config_noDemand.yaml,5,200,0.1,3
4,2016-02-01,2021-06-01,2021-07-01,2022-09-01,0.13873920274652604,8.061359346508917,"no Demand features (default params, 5 features)",config_noDemand.yaml,5,200,0.1,3
5,2016-02-01,2022-09-01,2022-10-01,2023-12-01,0.2870140092990313,16.315130411323516,"no Demand features (default params, 5 features)",config_noDemand.yaml,5,200,0.1,3
1,2016-02-01,2017-09-01,2017-10-01,2018-12-01,0.15855901186525823,6.639132534384204,"no Demand & Lag1 features (default params, 4 features)",config_noDemand_Lag1.yaml,4,300,0.05,4
2,2016-02-01,2018-12-01,2019-01-01,2020-03-01,0.19144098036281929,10.131533391814793,"no Demand & Lag1 features (default params, 4 features)",config_noDemand_Lag1.yaml,4,300,0.05,4
3,2016-02-01,2020-03-01,2020-04-01,2021-06-01,0.4606554259211857,23.330256641355163,"no Demand & Lag1 features (default params, 4 features)",config_noDemand_Lag1.yaml,4,300,0.05,4
4,2016-02-01,2021-06-01,2021-07-01,2022-09-01,0.3061253178904706,17.485307969677883,"no Demand & Lag1 features (default params, 4 features)",config_noDemand_Lag1.yaml,4,300,0.05,4
5,2016-02-01,2022-09-01,2022-10-01,2023-12-01,0.3279695317727111,19.538565072760488,"no Demand & Lag1 features (default params, 4 features)",config_noDemand_Lag1.yaml,4,300,0.05,4
